NOME_ORIGINAL,NOME_PADRONIZADO
CDC PARQUE CONTINENTAL,CDC PARQUE CONTINENTAL
CDC PARQUE DA MOËCA,CDC PARQUE DA MÓOCA
CDC PARQUE DA MOÓCA,CDC PARQUE DA MÓOCA
CDC PARQUE DA MÓOCA,CDC PARQUE DA MÓOCA
CDC PARQUE DOROT?IA,CDC PARQUE DOROTÉIA
CDC PARQUE DOROTEIA,CDC PARQUE DOROTÉIA
CDC PARQUE DOROTÉIA,CDC PARQUE DOROTÉIA
CDC PARQUE ECOLÓGICO VILA PRUDENTE,CDC PARQUE ECOLÓGICO VILA PRUDENTE
CDC PARQUE ESPORTIVO VILA BELA,CDC PARQUE ESPORTIVO VILA BELA
CDC PARQUE FERNANDA,CDC PARQUE FERNANDA
CDC PARQUE FONGARO,CDC PARQUE FONGARO
CDC PARQUE GUARANI,CDC PARQUE GUARANI
CDC PARQUE IGUATEMI- LIMOEIRO,CDC PARQUE IGUATEMI- LIMOEIRO
CDC PARQUE REGINA,CDC PARQUE REGINA
CDC PARQUE S?O RAFAEL,CDC PARQUE S?O RAFAEL
CDC PARQUE SANTA MADALENA,CDC PARQUE SANTA MADALENA
CDC PARQUE SANTO ANTONIO,CDC PARQUE SANTO ANTONIO
CDC PARQUE SAO LUCAS,CDC PARQUE SÃO LUCAS
CDC PARQUE SÃO LUCAS,CDC PARQUE SÃO LUCAS
CDC PARQUE SÃO RAFAEL,CDC PARQUE SÃO RAFAEL
CDC PARQUE VEREDA,CDC PARQUE VEREDA
CDC PARQUE VEREDAS  II,CDC PARQUE VEREDA
CDC PARQUE VEREDAS II,CDC PARQUE VEREDA
CDC PASSAGEM FUNDA,CDC PASSAGEM FUNDA
CDC PAULINO ALVES DA SILVA,CDC PAULINO ALVES DA SILVA
CDC PAULO CORREA DE MELLO,CDC PAULO CORREA DE MELLO
CDC PAULO RAIMUNDO,CDC PAULO RAIMUNDO
CDC PEDRA BRANCA,CDC PEDRA BRANCA
CDC PEDRO JOS? NUNES,CDC PEDRO JOSÉ NUNES
CDC PEDRO JOSE NUNES,CDC PEDRO JOSÉ NUNES
CDC PEDRO JOSÉ NUNES,CDC PEDRO JOSÉ NUNES
CDC PEQUENINOS DO JOCKEY,CDC PEQUENINOS DO JOCKEY
CDC PERUS,CDC PERÚS
CDC PERÚS,CDC PERÚS
CDC PÉS NO FUTURO,CDC PÉS NO FUTURO
CDC PORING?,CDC PORINGÁ
CDC PORINGA,CDC PORINGÁ
CDC PORINGÁ,CDC PORINGÁ
CDC PORTUGUESINHA DO RIO PEQUENO,CDC PORTUGUESINHA DO RIO PEQUENO
CDC PRIMAVERA,CDC PRIMAVERA
CDC PRIMEIRO DE MAIO,CDC PRIMEIRO DE MAIO
CDC PRÓ MORAR,CDC PRÓ MORAR
CDC PROFESSOR FRANCISCO TEODORO MENDES,CDC PROFESSOR FRANCISCO THEODORO MENDES
CDC PROFESSOR FRANCISCO THEODORO MENDES,CDC PROFESSOR FRANCISCO THEODORO MENDES
CDC Prol Leste,CDC PROL LESTE
CDC RAGUEB CHOHFI,CDC RAGUEB CHOHFI
CDC RAUL ANTONIO MARQUES,CDC RAUL ANTONIO MARQUES
CDC RAYMUNDO DA SILVA DUPRAT,CDC RAYMUNDO DA SILVA DUPRAT
CDC RECREATIVO VIDA VIVA DO JARDIM COIMBRA,CDC RECREATIVO VIDA VIVA DO JARDIM COIMBRA
CDC RECREATIVO VIDA VIVA JD. COIMBRA,CDC RECREATIVO VIDA VIVA DO JARDIM COIMBRA
CDC REGIONAL DO JARDIM PARIS,CDC REGIONAL DO JARDIM PARIS
CDC REINALD?O,CDC REINALDÃO
CDC REINALDÃO,CDC REINALDÃO
CDC RESIDENCIAL SANTA TEREZINHA,CDC RESIDENCIAL SANTA TEREZINHA
CDC ROBERTO JORGE,CDC ROBERTO JORGE
CDC ROBERTO JORGE (LEÃO X),CDC ROBERTO JORGE
CDC ROBERTO RUSSO,CDC ROBERTO RUSSO
CDC S?O PAULO,CDC SÃO PAULO
CDC S?O PAULO GIANTS,CDC SÃO PAULO GIANTS
CDC SABÃO,CDC SABÃO
CDC SABIPA DE OURO,CDC SABIPA DE OURO
CDC SAJU,CDC SAJU
CDC SALDANHA,CDC SALDANHA
CDC SALVELINO FERREIRA,CDC SALVELINO FERREIRA
CDC SANTA FÉ,CDC SANTA FÉ
CDC SANTA INÊS,CDC SANTA INÊS
CDC SANTO ANTONIO,CDC SANTO ANTONIO
CDC SANTOS FUTEBOL CLUBE CIDADE DUTRA,CDC SANTOS FUTEBOL CLUBE CIDADE DUTRA
CDC SÃO CAIO,CDC SÃO CAIO
CDC SAO FRANCISCO,CDC SÃO FRANCISCO
CDC SÃO FRANCISCO,CDC SÃO FRANCISCO
CDC SÃO JANUÁRIO,CDC SÃO JANUÁRIO
CDC SÃO LOURENÇO,CDC SÃO LOURENÇO
CDC SÃO LUIZ,CDC SÃO LUIZ
CDC SÃO LUIZ I,CDC SÃO LUIZ
CDC SAO LUIZ II,CDC SÃO LUIZ
CDC SÃO LUIZ II,CDC SÃO LUIZ
CDC SÃO MARCOS,CDC SÃO MARCOS
CDC SÃO PAULO,CDC SÃO PAULO
CDC SÃO PAULO GIANTS,CDC SÃO PAULO GIANTS
CDC SÂO VICENTE,CDC SÃO VICENTE
CDC SÃO VICENTE,CDC SÃO VICENTE
CDC SAPOPEMBA,CDC SAPOPEMBA
CDC SAVIMAR,CDC SAVIMAR
CDC SEBASTIÃO ZILLIG,CDC SEBASTIÃO ZILLIG
CDC SENHOR DO BONFIM,CDC SENHOR DO BONFIM
CDC SÉRGIO SOUZA LOPES,CDC SÉRGIO SOUZA LOPES
CDC SERRA DA QUEIMADA,CDC SERRA DA QUEIMADA - JARDIM ROBRÚ
CDC SERRA DA QUEIMADA - JARDIM ROBRÚ,CDC SERRA DA QUEIMADA - JARDIM ROBRÚ
CDC SERRA MORENA,CDC SERRA MORENA
CDC SIM?ES UNIDOS,CDC SIMÕES UNIDOS
CDC SIMÕES UNIDOS,CDC SIMÕES UNIDOS
CDC SÓ ALEGRIA,CDC SÓ ALEGRIA
CDC TANCREDO NEVES,CDC TANCREDO NEVES
CDC TARGINO GABRIEL DA SILVA,CDC TARGINO GABRIEL DA SILVA
CDC TIDE SETUBAL,CDC TIDE SETUBAL
CDC TIETE E SOUZA,CDC TIETE E SOUZA
CDC TIRADENTES,CDC TIRADENTES
CDC TOSSAN,CDC TOSSAN
CDC TR?S ALIANÃAS,CDC TRÊS ALIANÇAS
CDC TREM DAS ONZE,CDC TREM DAS ONZE
CDC TRÊS ALIANÇAS,CDC TRÊS ALIANÇAS
CDC TRINTA E UM DE MARÃO,CDC TRINTA E UM DE MARÇO
CDC TRINTA E UM DE MARÇO,CDC TRINTA E UM DE MARÇO
CDC UCRA UNI?O CULTURAL E RECREATIVA AMIZADE,CDC UCRA UNIÃO CULTURAL RECREATIVA AMIZADE
CDC UCRA UNIÃO CULTURAL E RECREATIVA AMIZADE,CDC UCRA UNIÃO CULTURAL RECREATIVA AMIZADE
CDC UCRA UNIÃO CULTURAL RECREATIVA AMIZADE,CDC UCRA UNIÃO CULTURAL RECREATIVA AMIZADE
CDC UNI LESTE DE ESPORTES ATLÉTICOS,CDC UNI LESTE DE ESPORTES ATLÉTICOS
CDC UNI?O BRASILIENSE DE ESPORTES,CDC UNIÃO BRASILIENSE DE ESPORTES
CDC UNI?O DO BOM RETIRO,CDC UNIÃO DO BOM RETIRO
CDC UNI?O DO MORRO DO JARDIM SANTA TEREZINHA,CDC UNIÃO DO MORRO DO JARDIM SANTA TEREZINHA
CDC UNI?O DO PARQUE S?O RAFAEL,CDC UNIÃO DO PARQUE SÃO RAFAEL
CDC UNIAO BRASILIENSE DE ESPORTES,CDC UNIÃO BRASILIENSE DE ESPORTES
CDC UNIÃO BRASILIENSE DE ESPORTES,CDC UNIÃO BRASILIENSE DE ESPORTES
CDC UNIÃO DA FÉ,CDC UNIÃO DA FÉ
CDC UNIÃO DE VILA NOVA,CDC UNIÃO DE VILA NOVA
CDC UNIÃO DO BOM RETIRO,CDC UNIÃO DO BOM RETIRO
CDC UNIAO DO MORRO DO JARDIM SANTA TEREZINHA,CDC UNIÃO DO MORRO DO JARDIM SANTA TEREZINHA
CDC UNIÃO DO MORRO DO JARDIM SANTA TEREZINHA,CDC UNIÃO DO MORRO DO JARDIM SANTA TEREZINHA
CDC UNIÃO DO MORRO DO JD. STA. TEREZINHA,CDC UNIÃO DO MORRO DO JD. STA. TEREZINHA
CDC UNIÃO DO PARQUE SÃO RAFAEL,CDC UNIÃO DO PARQUE SÃO RAFAEL
CDC UNIÃO NORDESTE,CDC UNIÃO NORDESTE
CDC UNIÃO PARQUE SÃO RAFAEL,CDC UNIÃO DO PARQUE SÃO RAFAEL
CDC UNIÃO SOCIAL VILA BELA,CDC UNIÃO SOCIAL VILA BELA
CDC UNIÃO ULEROMÃ,CDC UNIÃO ULEROMÃ
CDC UNIDOS DA VILA GUARANI,CDC UNIDOS DA VILA GUARANI
CDC UNIDOS DA VILA SANTA MARIA,CDC UNIDOS DA VILA SANTA MARIA
CDC UNIDOS VENCEREMOS,CDC UNIDOS VENCEREMOS
CDC UNILESTE DE ESPORTES ATLETICOS,CDC UNILESTE DE ESPORTES ATLÉTICOS
CDC UNILESTE DE ESPORTES ATLÉTICOS,CDC UNILESTE DE ESPORTES ATLÉTICOS
CDC UNIVERSO,CDC UNIVERSO
CDC VELEIROS,CDC VELEIROS
CDC VENEZA INDEPENDENTE,CDC VENEZA INDEPENDENTE
CDC VICENTE ITALO FEOLA,CDC VICENTE ÍTALO FEOLA
CDC VICENTE ÍTALO FEOLA,CDC VICENTE ÍTALO FEOLA
CDC VICTOR MARQUES DOS SANTOS,CDC VICTOR MARQUES DOS SANTOS
CDC VIGOR,CDC VIGOR
CDC VILA ALBERTINA,CDC VILA ALBERTINA
CDC VILA ANHANGUERA,CDC VILA ANHANGUERA
CDC VILA ARCADIA,CDC VILA ARCÁDIA
CDC VILA ARCÁDIA,CDC VILA ARCÁDIA
CDC VILA CALIFËRNIA,CDC VILA CALIFÓRNIA
CDC VILA CALIFÓRNIA,CDC VILA CALIFÓRNIA
CDC VILA CISPER ( 3 COROAS ),CDC VILA CISPER ( 3 COROAS )
CDC VILA CLEMENTINO,CDC VILA CLEMENTINO
CDC VILA CURUÇA VELHA,CDC VILA CURUÇÁ VELHA
CDC VILA CURUÇÁ VELHA,CDC VILA CURUÇÁ VELHA
CDC VILA DA PAZ,CDC VILA DA PAZ
CDC VILA DARLY E JARDIM TEREZA,CDC VILA DARLY E JARDIM TEREZA
CDC VILA DAS MERCES,CDC VILA DAS MERCÊS
CDC VILA DAS MERCÊS,CDC VILA DAS MERCÊS
CDC VILA FRIBURGO,CDC VILA FRIBURGO
CDC VILA INVERNADA,CDC VILA INVERNADA
CDC VILA ITAIAU,CDC VILA ITAIAU
CDC VILA JAGUARA,CDC VILA JAGUARA
CDC VILA MANGALOT,CDC VILA MANGALOT
CDC VILA MATILDE,CDC VILA MATILDE
CDC VILA MIRIAM,CDC VILA MIRIAM
CDC VILA MISSIONÁRIA,CDC VILA MISSIONÁRIA
CDC VILA NOVA CACHOEIRINHA,CDC VILA NOVA CACHOEIRINHA
CDC VILA NOVA CACHOEIRINHA - VINOCA,CDC VILA NOVA CACHOEIRINHA
CDC VILA NOVA CURUÇA,CDC VILA NOVA CURUÇA
CDC VILA OL?MPIA,CDC VILA OLÍMPIA
CDC VILA OLÍMPIA,CDC VILA OLÍMPIA
CDC VILA PALMEIRAS,CDC VILA PALMEIRAS
CDC VILA PENTEADO,CDC VILA PENTEADO
CDC VILA PIAUI,CDC VILA PIAUÍ
CDC VILA PIAUÍ,CDC VILA PIAUÍ
CDC VILA RICA II,CDC VILA RICA II
CDC VILA URSULINA PIQUERI,CDC VILA URSULINA PIQUERI
CDC VINTE E NOVE DE JUNHO,CDC VINTE E NOVE DE JUNHO
CDC WALDEMAR MORENO,CDC WALDEMAR MORENO
CDC XURUPITA,CDC XURUPITA
CDC- CLEUZA BUENO,CDC- CLEUZA BUENO
CDC- SABÃO,CDC- SABÃO
CDC--FRANCISCO PRESTES MAIA,CDC--FRANCISCO PRESTES MAIA
CDC-ABELINO SOARES DE ANDRADE,CDC-ABELINO SOARES DE ANDRADE
CDC-ADEMAR DE BARROS,CDC-ADEMAR DE BARROS
CDC-Admardo Armond,CDC-AdDMARDO ARNOLD
CDC-Aena Radical,CDC-ARENA RADICAL
CDC-ALVORADA,CDC-ALVORADA
CDC-AMÉRICA DO MORRO,CDC-AMÉRICA DO MORRO
CDC-ANA GONÇALVES DE SOUZA,CDC-ANA GONÇALVES DE SOUZA
CDC-ANCHIETA,CDC-ANCHIETA
CDC-ANTONIO RODRIGUES FILHO,CDC-ANTONIO RODRIGUES FILHO
CDC-ARAUJO,CDC-ARAUJO
CDC-AREÃO DE VILA CARMOSINA,CDC-AREÃO DE VILA CARMOSINA
CDC-AREAO DE VILA CISPER,CDC-AREAO DE VILA CISPER
CDC-ARLINDO DE OLIVEIRA MIRAGAIA,CDC-ARLINDO DE OLIVEIRA MIRAGAIA
CDC-AUGOSTINHO VIEIRA,CDC-AUGOSTINHO VIEIRA
CDC-BADEN POWEL,CDC-BADEN POWEL
CDC-BAQUIRIVU JOSE ERMIRIO DE MORAES FILHO,CDC-BAQUIRIVU JOSE ERMIRIO DE MORAES FILHO
CDC-BASILEIA,CDC-BASILEIA
CDC-BENEDITO RAMOS RODRIGUES,CDC-BENEDITO RAMOS RODRIGUES
CDC-BENICIO PEREIRA DE SOUZA,CDC-BENICIO PEREIRA DE SOUZA
CDC-BENTO BICUDO,CDC-BENTO BICUDO
CDC-BETO FARIA,CDC-BETO FARIA
CDC-BOA ESPERANÇA,CDC-BOA ESPERANÇA
CDC-BOLSA D AGUA,CDC-BOLSA D AGUA
CDC-Bonfiglioli,CDC-BONFIGLIOLI
CDC-Boni 4,CDC-BONI 4
CDC-CALDEIRAO IPORANGA JOSE SALLES,CDC-CALDEIRAO IPORANGA JOSE SALLES
CDC-CAMPO BELO,CDC-CAMPO BELO
CDC-CANARINHO,CDC-CANARINHO
CDC-CANTAREIRA,CDC-CANTAREIRA
CDC-Capitão Audoramo Antunes Moreira,CDC-CAPITÃO AUDORAMO ANTUNES MOREIRA
CDC-CASTULIO DO AMARAL,CDC-CASTULIO DO AMARAL
CDC-CECILIA MEIRELLES,CDC-CECILIA MEIRELLES
CDC-CENTAURO,CDC-CENTAURO
CDC-CENTRO DA COROA FUTEBOL CLUBE,CDC-CENTRO DA COROA FUTEBOL CLUBE
CDC-CIDADE ADEMAR,CDC-CIDADE ADEMAR
CDC-CIDADE KEMEL,CDC-CIDADE KEMEL
CDC-CIDADE LÍDER,CDC-CIDADE LÍDER
CDC-CIDADE PATRIARCA,CDC-CIDADE PATRIARCA
CDC-CIDADE SAO MATHEUS,CDC-CIDADE SAO MATHEUS
CDC-CIDADE SATELITE SANTA BARBARA,CDC-CIDADE SATELITE SANTA BARBARA
CDC-CITY-CITY,CDC-CITY-CITY
CDC-CLOVIS ALVES RODRIGUES,CDC-CLOVIS ALVES RODRIGUES
CDC-Clube da Comunidade Águia de Ouro,CDC-Clube da Comunidade Águia de Ouro
CDC-Clube da Comunidade Butantã,CDC-Clube da Comunidade Butantã
CDC-CLUBE DA COMUNIDADE NOSSA SENHORA APARECIDA,CDC-CLUBE DA COMUNIDADE NOSSA SENHORA APARECIDA
CDC-CONGONHAS,CDC-CONGONHAS
CDC-CONJUNTO PRO MORAR,CDC-CONJUNTO PRO MORAR
CDC-CONJUNTO SETUBAL,CDC-CONJUNTO SETUBAL
CDC-COPA 70,CDC-COPA 70
CDC-CORNÉLIO RODRIGUES DE ALMEIDA,CDC-CORNÉLIO RODRIGUES DE ALMEIDA
CDC-CURTIBALL,CDC-CURTIBALL
CDC-DÉCIDO DA SILVA,CDC-DÉCIDO DA SILVA
CDC-DEMOCRATA,CDC-DEMOCRATA
CDC-ELIAS DA SILVA TRINDADE,CDC-ELIAS DA SILVA TRINDADE
CDC-ELISIO SIQUEIRA,CDC-ELISIO SIQUEIRA
CDC-EMERSON ZEMELLA,CDC-EMERSON ZEMELLA
CDC-ERMELINO MATARAZZO,CDC-ERMELINO MATARAZZO
CDC-ESPAÇO-ESPAÇO GENTE,CDC-ESPAÇO-ESPAÇO GENTE
CDC-ESTRELA DO CAMPO GRANDE,CDC-ESTRELA DO CAMPO GRANDE
CDC-ESTRELA DO JARDIM VILA FORMOSA,CDC-ESTRELA DO JARDIM VILA FORMOSA
CDC-ESTRELA DO PARI,CDC-ESTRELA DO PARI
CDC-FARIA LIMA,CDC-FARIA LIMA
CDC-FERNANDO ROMERA VAL,CDC-FERNANDO ROMERA VAL
CDC-FERRADURA,CDC-FERRADURA
CDC-FLOR DE MAIO E ESTRELA MARINHA,CDC-FLOR DE MAIO E ESTRELA MARINHA
CDC-GERALDO JOSÉ DE ALMEIDA,CDC-GERALDO JOSÉ DE ALMEIDA
CDC-GERALDO RAMOS MONTEIRO,CDC-GERALDO RAMOS MONTEIRO
CDC-GETULIO DORNELES VARGAS,CDC-GETULIO DORNELES VARGAS
CDC-GIGANTÃO DO ICARAI,CDC-GIGANTÃO DO ICARAI
CDC-Governador Mario Covas,CDC-GOVERNADOR MARIO COVAS
CDC-GUAIANAZES,CDC-GUAIANAZES
CDC-GUARANI DE SÃO MATEUS,CDC-GUARANI DE SÃO MATEUS
CDC-GUARAPIRANGA,CDC-GUARAPIRANGA
CDC-ITAQUERA,CDC-ITAQUERA
CDC-IV CENTENARIO,CDC-IV CENTENARIO
CDC-JAÇANÃ,CDC-JAÇANÃ
CDC-JAGUARÉ,CDC-JAGUARÉ
CDC-JARDIM CACHOEIRA,CDC-JARDIM CACHOEIRA
CDC-JARDIM CASTRO ALVES,CDC-JARDIM CASTRO ALVES
CDC-JARDIM DAS OLIVEIRAS,CDC-JARDIM DAS OLIVEIRAS
CDC-JARDIM GUARAU E GONÇALVES CENTENO,CDC-JARDIM GUARAU E GONÇALVES CENTENO
CDC-JARDIM HERPLIN,CDC-JARDIM HERPLIN
CDC-JARDIM INGA,CDC-JARDIM INGA
CDC-JARDIM ITALIA,CDC-JARDIM ITALIA
CDC-JARDIM MALIA,CDC-JARDIM MALIA
CDC-JARDIM MANACA,CDC-JARDIM MANACA
CDC-JARDIM MARINGÁ,CDC-JARDIM MARINGÁ
CDC-JARDIM MARTINICA,CDC-JARDIM MARTINICA
CDC-JARDIM MIRIAM,CDC-JARDIM MIRIAM
CDC-JARDIM PATENTE,CDC-JARDIM PATENTE
CDC-JARDIM PLANALTO,CDC-JARDIM PLANALTO
CDC-JARDIM REGIS,CDC-JARDIM REGIS
CDC-JARDIM ROSANA,CDC-JARDIM ROSANA
CDC-JARDIM SANTA ADÉLIA,CDC-JARDIM SANTA ADÉLIA
CDC-JARDIM SÃO BERNARDO,CDC-JARDIM SÃO BERNARDO
CDC-JARDIM SÃO RAFAEL,CDC-JARDIM SÃO RAFAEL
CDC-JARDIM SAO VICENTE,CDC-JARDIM SAO VICENTE
CDC-JARDIM SECKLER,CDC-JARDIM SECKLER
CDC-JARDIM TÊXTIL,CDC-JARDIM TÊXTIL
CDC-João Cândido da Silva,CDC-JOÃOCÂNDIDO DA SILVA
CDC-JOÃO CAVALCANTE LEAL,CDC-JOÃO CAVALCANTE LEAL
CDC-JOAQUIM TEODORO PEREIRA,CDC-JOAQUIM TEODORO PEREIRA
CDC-JORGE TIBIRIÇÁ,CDC-JORGE TIBIRIÇÁ
CDC-JOSÉ AMANCIO FERNANDES,CDC-JOSÉ AMANCIO FERNANDES
CDC-JOSE MOREIRA,CDC-JOSE MOREIRA
CDC-JOSE PANTA ALVES,CDC-JOSE PANTA ALVES
CDC-JOSÉ PIRES DO RIO,CDC-JOSÉ PIRES DO RIO
CDC-KALIL ALLE MAMEDE,CDC-KALIL ALLE MAMEDE
CDC-LA VAI BOLA,CDC-LA VAI BOLA
CDC-LAURO MEGALE,CDC-LAURO MEGALE
CDC-LAZARO CORREIA MACEDO,CDC-LAZARO CORREIA MACEDO
CDC-MAMONAS,CDC-MAMONAS
CDC-MANOEL DE ABREU,CDC-MANOEL DE ABREU
CDC-MAR PAULISTA E REPRESA NOVA,CDC-MAR PAULISTA E REPRESA NOVA
CDC-MARCILIO ALVES DO PRADO,CDC-MARCILIO ALVES DO PRADO
CDC-MARIA CAETANO,CDC-MARIA CAETANO
CDC-MAURO BEZERRA PINHEIRO,CDC-MAURO BEZERRA PINHEIRO
CDC-MOINHO VELHO,CDC-MOINHO VELHO
CDC-MONTE AZUL,CDC-MONTE AZUL
CDC-MORADA DO SOL,CDC-MORADA DO SOL
CDC-MURILLO DE ALMEIDA PASSOS,CDC-MURILLO DE ALMEIDA PASSOS
CDC-NACIONAL DO BOM RETIRO,CDC-NACIONAL DO BOM RETIRO
CDC-NELSON NUNES,CDC-NELSON NUNES
CDC-NOSSA SENHORA DO Ó,CDC-NOSSA SENHORA DO Ó
CDC-OLIVIO BELLO,CDC-OLIVIO BELLO
CDC-Otavio Alves da Silva Neto,CDC-OtTAVIO ALVES DA SILVA NETO
CDC-PARQUE CONTINENTAL,CDC-PARQUE CONTINENTAL
CDC-PARQUE ECOLOGICO VILA PRUDENTE,CDC-PARQUE ECOLOGICO VILA PRUDENTE
CDC-PARQUE ESPORTIVO VILA BELA,CDC-PARQUE ESPORTIVO VILA BELA
CDC-PARQUE FONGARO,CDC-PARQUE FONGARO
CDC-PARQUE REGINA,CDC-PARQUE REGINA
CDC-PARQUE SANTA MADALENA,CDC-PARQUE SANTA MADALENA
CDC-PARQUE SANTO ANTONIO,CDC-PARQUE SANTO ANTONIO
CDC-PARQUE SAO LUCAS,CDC-PARQUE SAO LUCAS
CDC-PARQUE SAO RAFAEL,CDC-PARQUE SAO RAFAEL
CDC-PARQUE VEREDA II,CDC-PARQUE VEREDA II
CDC-PASSAGEM FUNDA,CDC-PASSAGEM FUNDA
CDC-PAULINO ALVES DA SILVA,CDC-PAULINO ALVES DA SILVA
CDC-PAULO RAIMUNDO,CDC-PAULO RAIMUNDO
CDC-PEDRA BRANCA,CDC-PEDRA BRANCA
CDC-PEDRO JOSE NUNES,CDC-PEDRO JOSE NUNES
CDC-PEQUENINOS DO JOCKEY,CDC-PEQUENINOS DO JOCKEY
CDC-PORINGA,CDC-PORINGA
CDC-PRIMAVERA,CDC-PRIMAVERA
CDC-PRIMEIRO DE MAIO,CDC-PRIMEIRO DE MAIO
CDC-PROFESSOR FRANCISCO THEODORO MENDES,CDC-PROFESSOR FRANCISCO THEODORO MENDES
CDC-Prol Leste,CDC-PROL LESTE
CDC-RAGUEB CHOHFI,CDC-RAGUEB CHOHFI
CDC-RAUL ANTONIO MARQUES,CDC-RAUL ANTONIO MARQUES
CDC-RAYMUNDO DA SILVA DUPRAT,CDC-RAYMUNDO DA SILVA DUPRAT
CDC-Reinaldão,CDC-REINALDÃO
CDC-RESIDENCIAL SANTA TEREZINHA,CDC-RESIDENCIAL SANTA TEREZINHA
CDC-ROBERTO RUSSO,CDC-ROBERTO RUSSO
CDC-SABIPA DE OURO,CDC-SABIPA DE OURO
CDC-SAJU,CDC-SAJU
CDC-SALDANHA,CDC-SALDANHA
CDC-SALVELINO FERREIRA,CDC-SALVELINO FERREIRA
CDC-SANTA FÉ,CDC-SANTA FÉ
CDC-SANTA INES,CDC-SANTA INES
CDC-SANTO ANTONIO,CDC-SANTO ANTONIO
CDC-SANTOS FUTEBOL CLUBE CIDADE DUTRA,CDC-SANTOS FUTEBOL CLUBE CIDADE DUTRA
CDC-SAO JANUARIO,CDC-SAO JANUARIO
CDC-SÃO LUIZ,CDC-SÃO LUIZ
CDC-SÃO LUIZ I,CDC-SÃO LUIZ I
CDC-SAO PAULIO GIANTS-SAO PAULO GIANTS,CDC-SAO PAULIO GIANTS-SAO PAULO GIANTS
CDC-SAO PAULO,CDC-SAO PAULO
CDC-SAPOPEMBA,CDC-SAPOPEMBA
CDC-SEBASTIAO ZILLIG,CDC-SEBASTIAO ZILLIG
CDC-SENHOR DO BONFIM,CDC-SENHOR DO BONFIM
CDC-SERRA MORENA,CDC-SERRA MORENA
CDC-SIMOES UNIDOS,CDC-SIMOES UNIDOS
CDC-TANCREDO NEVES,CDC-TANCREDO NEVES
CDC-TARGINO GABRIEL DA SILVA,CDC-TARGINO GABRIEL DA SILVA
CDC-Telê Santana,CDC-TELÊ SANTANA
CDC-TIETE E SOUZA,CDC-TIETE E SOUZA
CDC-TIRADENTES,CDC-TIRADENTES
CDC-TOSSAN,CDC-TOSSAN
CDC-TRES ALIANCAS,CDC-TRES ALIANCAS
CDC-TRIANGULO ESPORTIVO,CDC-TRIANGULO ESPORTIVO
CDC-TRINTA E UM DE MARÇO,CDC-TRINTA E UM DE MARÇO
CDC-UCRA UNIÃO CULTURAL RECREATIVA AMIZADE,CDC-UCRA UNIÃO CULTURAL RECREATIVA AMIZADE
CDC-UNIAO BRASILIENSE DE ESPORTES,CDC-UNIAO BRASILIENSE DE ESPORTES
CDC-UNIÃO DA FÉ,CDC-UNIÃO DA FÉ
CDC-UNIAO DO MORRO DO JARDIM SANTA TEREZINHA,CDC-UNIAO DO MORRO DO JARDIM SANTA TEREZINHA
CDC-UNIAO DO PARQUE SAO RAFAEL,CDC-UNIAO DO PARQUE SAO RAFAEL
CDC-UNIAO SOCIAL VILA BELA,CDC-UNIAO SOCIAL VILA BELA
CDC-UNIÃO ULEROMÃ,CDC-UNIÃO ULEROMÃ
CDC-UNIDOS DA VILA GUARANI,CDC-UNIDOS DA VILA GUARANI
CDC-UNIDOS VENCEREMOS,CDC-UNIDOS VENCEREMOS
CDC-UNILESTE DE ESPORTES ATLETICOS,CDC-UNILESTE DE ESPORTES ATLETICOS
CDC-UNIVERSO,CDC-UNIVERSO
CDC-VENEZA INDEPENDENTE,CDC-VENEZA INDEPENDENTE
CDC-VICENTE ITALO FEOLA,CDC-VICENTE ITALO FEOLA
CDC-VICTOR MARQUES DOS SANTOS,CDC-VICTOR MARQUES DOS SANTOS
CDC-VIGOR,CDC-VIGOR
CDC-VILA AHANGUERA,CDC-VILA AHANGUERA
CDC-VILA ALBERTINA,CDC-VILA ALBERTINA
CDC-VILA ARCADIA,CDC-VILA ARCADIA
CDC-VILA CALIFORNIA,CDC-VILA CALIFORNIA
CDC-VILA CLEMENTINO,CDC-VILA CLEMENTINO
CDC-VILA CONSTANÇA,CDC-VILA CONSTANÇA
CDC-VILA DA PAZ,CDC-VILA DA PAZ
CDC-VILA DARLY E JARDIM TEREZA,CDC-VILA DARLY E JARDIM TEREZA
CDC-VILA DAS MERCES,CDC-VILA DAS MERCES
CDC-VILA JAGUARA,CDC-VILA JAGUARA
CDC-VILA MISSIONARIA,CDC-VILA MISSIONARIA
CDC-VILA NOVA CACHOEIRINHA,CDC-VILA NOVA CACHOEIRINHA
CDC-VILA PALMEIRAS,CDC-VILA PALMEIRAS
CDC-VILA PENTEADO,CDC-VILA PENTEADO
CDC-VILA PIAUI,CDC-VILA PIAUI
CDC-VILA RICA,CDC-VILA RICA
CDC-VILA RICA II,CDC-VILA RICA
CDC-VILA URSULINA PIQUERI,CDC-VILA URSULINA PIQUERI
CDCJARDIM MIRNA - IDEO RIBEIRO,CDCJARDIM MIRNA - IDEO RIBEIRO
CDM ADHEMAR DE BARROS,CDM ADHEMAR DE BARROS
CDM ÁGUIA DE HAIA,CDM ÁGUIA DE HAIA
CDM ALVARO GOMES DA ROCHA AZEVEDO,CDM ALVARO GOMES DA ROCHA AZEVEDO
CDM ALVORADA CONJUNTO PADRE MANOEL DA NOBREGA,CDM ALVORADA CONJUNTO PADRE MANOEL DA NOBREGA
